car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
tahoe,2023,fender (r/l),5300,5000,5700
tahoe,2023,fender (r/r),5300,5000,5700
tahoe,2023,front bumper,2060,1150,3489
tahoe,2023,headlight (l),1030,2800,4400
tahoe,2023,headlight (r),1030,2800,4400
tahoe,2023,passenger door (f/l),4300,5000,5500
tahoe,2023,passenger door (r/l),4300,5000,5500
tahoe,2023,passenger door (r/r),4300,5000,5500
tahoe,2023,rear bumper,1940,2400,3000
tahoe,2023,rear light (l),615,1200,2210
tahoe,2023,rear light (r),615,1200,2210
tahoe,2023,side bumper(l),null,550,870
tahoe,2023,side bumper(r),null,550,870
tahoe,2024,car boot,6800,8400,7000
tahoe,2024,car hood,5600,4500,6800
tahoe,2024,driver door(f/r),5400,4890,6500
tahoe,2024,fender (f/l),407,2350,3479
tahoe,2024,fender (f/r),407,2350,3479
tahoe,2024,fender (r/l),6580,4900,5700
tahoe,2024,fender (r/r),6580,4900,5700
tahoe,2024,front bumper,603,1907,3489
tahoe,2024,headlight (l),890,2300,4400
tahoe,2024,headlight (r),890,2300,4400
tahoe,2024,passenger door (f/l),6300,6000,5500
tahoe,2024,passenger door (r/l),6300,6000,5500
tahoe,2024,passenger door (r/r),6300,6000,5500
tahoe,2024,rear bumper,830,2500,4800
tahoe,2024,rear light (l),615,1200,2210
tahoe,2024,rear light (r),615,1200,2210
tahoe,2024,side bumper(l),null,550,870
tahoe,2024,side bumper(r),null,550,870
